qm9,u,n,s,,u,n,s
"1,1",38.5,96.6,3719.1,,29.6,95.9,2838.64
"1,2",43.8,95.8,4196.04,,35.6,94.4,3360.64
"2,2",44.4,96.1,4266.84,,30.3,94.1,2851.23
"2,4",59.1,93.5,5525.85,,48.1,93.1,4478.11
"3,3",50.3,94.4,4748.32,,36.9,93.7,3457.53
"3,6",68.7,92.6,6361.62,,57.2,92.6,5296.72
"4,4",61.7,94.3,5818.31,,48.9,93.4,4567.26
"4,5",75.1,93.6,7029.36,,46.8,92.1,4310.28
"4,6",66.8,93.8,6265.84,,61.3,92.5,5670.25
"4,7",83.1,93.5,7769.85,,62.9,91.3,5742.77
"4,8",85.9,93.8,8057.42,,64.7,91.7,5932.99
"5,5",79.3,94.5,7493.85,,54.4,91.5,4977.6
"5,6",79.2,93.3,7389.36,,65.6,92.9,6094.24
"5,7",82.2,93.4,7677.48,,62.2,92.6,5759.72
"5,8",76.7,93.5,7171.45,,74.8,92.8,6941.44
"5,9",92.2,94.1,8676.02,,58.2,90.9,5290.38
"5,10",84.7,93.7,7936.39,,81.6,94.5,7711.2
"5,15",88.6,94.6,8381.56,,65.2,92.6,6037.52
"6,6",95.1,95.1,9044.01,35.9s,82.5,94.9,7829.25
"6,12",96.7,95.8,9263.86,52.3s,92.2,95.8,8832.76
"7,7",94.7,94.3,8930.21,,83.1,94.3,7836.33
"7,14",94.2,94.4,8892.48,54.1s,88.5,95.1,8416.35
"8,8",93.2,94.8,8835.36,,88.3,93.7,8273.71
"8,13",96.5,95.2,9186.8,56.1s,90.5,94.9,8588.45
"8,14",96.4,97.1,9360.44,58.9s,96.1,94.1,9043.01
